"","PatientRace","PatientGender","PatientLanguage","PrimaryDiagnosisDescription","Frequency"
"9246","White","Female","English","Manic episode without psychotic symptoms",423
"9247","White","Female","English","Manic episode without psychotic symptoms, moderate",351
"9248","White","Female","English","Manic episode, severe with psychotic symptoms",722
"9249","White","Female","English","Maple-syrup-urine disease",142
"9250","White","Female","English","Marburg virus disease",474
"9251","White","Female","English","Marfans syndrome with cardiovascular manifestations
28E6023D-3044-4656-AD47-622CDA028056	2	M05.37	Rheumatoid heart disease with rheumatoid arthritis of ankle and foot
28E6023D-3044-4656-AD47-622CDA028056	3	M05.76	Rheumatoid arthritis with rheumatoid factor of knee without organ or systems involvement
AC04DD07-4C60-401C-8A73-7A1179C22C2F	1	E79	Disorders of purine and pyrimidine metabolism
AC04DD07-4C60-401C-8A73-7A1179C22C2F	2	F60.1	Schizoid personality disorder
AC04DD07-4C60-401C-8A73-7A1179C22C2F	3	M63.81	Disorders of muscle in diseases classified elsewhere, shoulder
AC04DD07-4C60-401C-8A73-7A1179C22C2F	4	I97.611	Postprocedural hemorrhage and hematoma of a circulatory system organ or structure following cardiac bypass
9A7CEFD9-EA8A-48AA-83DB-BCA200960548	1	E11.649	Type 2 diabetes mellitus with hypoglycemia without coma
2ED72C8A-4270-4A86-9A0E-932DD18E6A76	1	F81.2	Mathematics disorder
2ED72C8A-4270-4A86-9A0E-932DD18E6A76	2	E10.43	Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
2ED72C8A-4270-4A86-9A0E-932DD18E6A76	3	A50.54	Late congenital cardiovascular syphilis
2ED72C8A-4270-4A86-9A0E-932DD18E6A76	4	H02.872	Vascular anomalies of right lower eyelid
A17DC97C-0569-42CF-90BE-4AD6AD66C9AE	1	M05.24	Rheumatoid vasculitis with rheumatoid arthritis of hand
A17DC97C-0569-42CF-90BE-4AD6AD66C9AE	2	O08.81	Cardiac arrest following an ectopic and molar pregnancy
A17DC97C-0569-42CF-90BE-4AD6AD66C9AE	3	M05.252	Rheumatoid vasculitis with rheumatoid arthritis of left hip
A17DC97C-0569-42CF-90BE-4AD6AD66C9AE	4	D57.1	Sickle-cell disease without crisis
A17DC97C-0569-42CF-90BE-4AD6AD66C9AE	5	J14	Pneumonia due to Hemophilus influenzae
D7E1AF43-12BE-41B7-A3D0-BE9818831B1E	1	G70.81	Lambert-Eaton syndrome in disease classified elsewhere
D7E1AF43-12BE-41B7-A3D0-BE9818831B1E	2	M49	Spondylopathies in diseases classified elsewhere
D7E1AF43-12BE-41B7-A3D0-BE9818831B1E	3	M63.83	Disorders of muscle in diseases classified elsewhere, forearm
D7E1AF43-12BE-41B7-A3D0-BE9818831B1E	4	N99	Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified
9BD9FF3A-25BA-4ED7-BA5C-42D8AA690F02	1	M63.85	Disorders of muscle in diseases classified elsewhere, thigh
5AA76D82-CF7D-4FDE-ACB2-6DB069E59A8D	1	E08.01	Diabetes mellitus due to underlying condition with hyperosmolarity with coma
5AA76D82-CF7D-4FDE-ACB2-6DB069E59A8D	2	F31.11	Bipolar disorder, current episode manic without psychotic features, mild
5AA76D82-CF7D-4FDE-ACB2-6DB069E59A8D	3	E11.0	Type 2 diabetes mellitus with hyperosmolarity
5AA76D82-CF7D-4FDE-ACB2-6DB069E59A8D	4	I79	Disorders of arteries, arterioles and capillaries in diseases classified elsewhere
544788E6-4EBE-4D14-AB5C-07588CAB6DDB	1	D32.0	Benign neoplasm of cerebral meninges
544788E6-4EBE-4D14-AB5C-07588CAB6DDB	2	C94.6	Myelodysplastic disease, not classified
544788E6-4EBE-4D14-AB5C-07588CAB6DDB	3	C10.4	Malignant neoplasm of branchial cleft
544788E6-4EBE-4D14-AB5C-07588CAB6DDB	4	S35.41	Laceration of renal blood vessel
733A173C-6DB6-4BDC-959B-D31FB0D261F8	1	M05.33	Rheumatoid heart disease with rheumatoid arthritis of wrist
733A173C-6DB6-4BDC-959B-D31FB0D261F8	2	D31.11	Benign neoplasm of right cornea
733A173C-6DB6-4BDC-959B-D31FB0D261F8	3	I69	Sequelae of cerebrovascular disease
733A173C-6DB6-4BDC-959B-D31FB0D261F8	4	M05.27	Rheumatoid vasculitis with rheumatoid arthritis of ankle and foot
733A173C-6DB6-4BDC-959B-D31FB0D261F8	5	K50.011	Crohns disease of small intestine with rectal bleeding",354
"9252","White","Female","English","Marfans syndrome with cardiovascular manifestations
7511AD29-60D8-4ED3-B9CF-2BAE65A6E3CE	2	C02.1	Malignant neoplasm of border of tongue
7511AD29-60D8-4ED3-B9CF-2BAE65A6E3CE	3	M05.722	Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement
513BF71A-CB1F-46F2-908E-A2513EF43ECD	1	C76.0	Malignant neoplasm of head, face and neck
513BF71A-CB1F-46F2-908E-A2513EF43ECD	2	A98.4	Ebola virus disease
513BF71A-CB1F-46F2-908E-A2513EF43ECD	3	E83.2	Disorders of zinc metabolism
513BF71A-CB1F-46F2-908E-A2513EF43ECD	4	M05.23	Rheumatoid vasculitis with rheumatoid arthritis of wrist
79AF4B15-FECE-4475-B1D7-EC4517DDE96A	1	E10.10	Type 1 diabetes mellitus with ketoacidosis without coma
79AF4B15-FECE-4475-B1D7-EC4517DDE96A	2	M90.512	Osteonecrosis in diseases classified elsewhere, left shoulder
79AF4B15-FECE-4475-B1D7-EC4517DDE96A	3	M24.242	Disorder of ligament, left hand
F3C61A3C-D1BB-4342-ACAC-A13CE83A8461	1	E75.240	Niemann-Pick disease type A
F3C61A3C-D1BB-4342-ACAC-A13CE83A8461	2	C54.2	Malignant neoplasm of myometrium
F3C61A3C-D1BB-4342-ACAC-A13CE83A8461	3	Q25.6	Stenosis of pulmonary artery
F3C61A3C-D1BB-4342-ACAC-A13CE83A8461	4	C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct
ACA9A6E5-309D-4C67-B6D2-DC67F30AE936	1	F42	Obsessive-compulsive disorder
ACA9A6E5-309D-4C67-B6D2-DC67F30AE936	2	C93.01	Acute monoblastic/monocytic leukemia, in remission
ACA9A6E5-309D-4C67-B6D2-DC67F30AE936	3	D37.031	Neoplasm of uncertain behavior of the sublingual salivary glands
ACA9A6E5-309D-4C67-B6D2-DC67F30AE936	4	M24.251	Disorder of ligament, right hip
ACA9A6E5-309D-4C67-B6D2-DC67F30AE936	5	C49.5	Malignant neoplasm of connective and soft tissue of pelvis
B42D4B87-1D1D-4A39-824A-D664591A6D33	1	M10.322	Gout due to renal impairment, left elbow
B42D4B87-1D1D-4A39-824A-D664591A6D33	2	C40.8	Malignant neoplasm of overlapping sites of bone and articular cartilage of limb
B42D4B87-1D1D-4A39-824A-D664591A6D33	3	F40.01	Agoraphobia with panic disorder
DD54EE7C-612D-4F68-9CBF-5891D0DC03BF	1	K71.1	Toxic liver disease with hepatic necrosis
80EBC8DA-D36C-4458-9F53-CA9C0A124EE9	1	M06.37	Rheumatoid nodule, ankle and foot
80EBC8DA-D36C-4458-9F53-CA9C0A124EE9	2	T43.3X	Poisoning by, adverse effect of and underdosing of phenothiazine antipsychotics and neuroleptics
80EBC8DA-D36C-4458-9F53-CA9C0A124EE9	3	M10.371	Gout due to renal impairment, right ankle and foot
80EBC8DA-D36C-4458-9F53-CA9C0A124EE9	4	M06.38	Rheumatoid nodule, vertebrae
80EBC8DA-D36C-4458-9F53-CA9C0A124EE9	5	C25.1	Malignant neoplasm of body of pancreas
91992809-6DA9-44D4-BF69-249C04220F3B	1	C69.52	Malignant neoplasm of left lacrimal gland and duct
91992809-6DA9-44D4-BF69-249C04220F3B	2	C49.1	Malignant neoplasm of connective and soft tissue of upper limb, including shoulder
91992809-6DA9-44D4-BF69-249C04220F3B	3	C41.3	Malignant neoplasm of ribs, sternum and clavicle
91992809-6DA9-44D4-BF69-249C04220F3B	4	M06.242	Rheumatoid bursitis, left hand
91992809-6DA9-44D4-BF69-249C04220F3B	5	M05.23	Rheumatoid vasculitis with rheumatoid arthritis of wrist
17AE4D49-4931-400D-97A2-7540E0C0B66D	1	C57.1	Malignant neoplasm of broad ligament
17AE4D49-4931-400D-97A2-7540E0C0B66D	2	E09.349	Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
17AE4D49-4931-400D-97A2-7540E0C0B66D	3	N46.025	Azoospermia due to systemic disease
AC6F9199-ACF0-4A45-924B-ECE5D3843A56	1	I15.0	Renovascular hypertension
AC6F9199-ACF0-4A45-924B-ECE5D3843A56	2	O99.711	Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester
AC6F9199-ACF0-4A45-924B-ECE5D3843A56	3	I79.0	Aneurysm of aorta in diseases classified elsewhere
AC6F9199-ACF0-4A45-924B-ECE5D3843A56	4	M63.872	Disorders of muscle in diseases classified elsewhere, left ankle and foot
AC6F9199-ACF0-4A45-924B-ECE5D3843A56	5	F51.04	Psychophysiologic insomnia
B96E70DA-828B-4271-A0C9-7762B9D5F9E9	1	K67	Disorders of peritoneum in infectious diseases classified elsewhere
B96E70DA-828B-4271-A0C9-7762B9D5F9E9	2	C91.A2	Mature B-cell leukemia Burkitt-type, in relapse
B96E70DA-828B-4271-A0C9-7762B9D5F9E9	3	O29.11	Cardiac arrest due to anesthesia during pregnancy
B96E70DA-828B-4271-A0C9-7762B9D5F9E9	4	A18.7	Tuberculosis of adrenal glands
4E077081-9754-48AB-A429-D28F0B268569	1	I26.92	Saddle embolus of pulmonary artery without acute cor pulmonale
20027E76-78DE-4093-A521-DBF6E81E50ED	1	D43	Neoplasm of uncertain behavior of brain and central nervous system
20027E76-78DE-4093-A521-DBF6E81E50ED	2	H02.875	Vascular anomalies of left lower eyelid
0D31BA99-44E7-4D15-94E8-B13BC6E89809	1	M05.142	Rheumatoid lung disease with rheumatoid arthritis of left hand
0D31BA99-44E7-4D15-94E8-B13BC6E89809	2	C12	Malignant neoplasm of pyriform sinus
AB7B4FCF-EEEB-4EC5-86E4-88388F8F7871	1	A28.1	Cat-scratch disease
AB7B4FCF-EEEB-4EC5-86E4-88388F8F7871	2	A21.2	Pulmonary tularemia
EA67EDFF-547C-45F6-8A10-FD153B044DE1	1	Z11	Encounter for screening for infectious and parasitic diseases
EA67EDFF-547C-45F6-8A10-FD153B044DE1	2	F32.5	Major depressive disorder, single episode, in full remission
EA67EDFF-547C-45F6-8A10-FD153B044DE1	3	M90.66	Osteitis deformans in neoplastic diseases, lower leg
EA67EDFF-547C-45F6-8A10-FD153B044DE1	4	H34	Retinal vascular occlusions
EA67EDFF-547C-45F6-8A10-FD153B044DE1	5	F31.0	Bipolar disorder, current episode hypomanic
EA67EDFF-547C-45F6-8A10-FD153B044DE1	6	T74.31	Adult psychological abuse, confirmed
39456B42-6C47-43D5-B8F7-B6503B6C2E7A	1	C92.A1	Acute myeloid leukemia with multilineage dysplasia, in remission
39456B42-6C47-43D5-B8F7-B6503B6C2E7A	2	D33.3	Benign neoplasm of cranial nerves
39456B42-6C47-43D5-B8F7-B6503B6C2E7A	3	M02.322	Reiters disease, left elbow",362
"9253","White","Female","English","Marfans syndrome with cardiovascular manifestations
BD7275AB-93B6-459A-AAA5-DE6DF62EF8B7	2	N71.0	Acute inflammatory disease of uterus
BD7275AB-93B6-459A-AAA5-DE6DF62EF8B7	3	M12.172	Kaschin-Beck disease, left ankle and foot
BD7275AB-93B6-459A-AAA5-DE6DF62EF8B7	4	M06.332	Rheumatoid nodule, left wrist
364A8306-EFD6-4F9F-8F03-B450DD2D7602	1	C72.4	Malignant neoplasm of acoustic nerve
364A8306-EFD6-4F9F-8F03-B450DD2D7602	2	M06.232	Rheumatoid bursitis, left wrist
364A8306-EFD6-4F9F-8F03-B450DD2D7602	3	E10.22	Type 1 diabetes mellitus with diabetic chronic kidney disease
364A8306-EFD6-4F9F-8F03-B450DD2D7602	4	C32.2	Malignant neoplasm of subglottis
364A8306-EFD6-4F9F-8F03-B450DD2D7602	5	D12.9	Benign neoplasm of anus and anal canal
364A8306-EFD6-4F9F-8F03-B450DD2D7602	6	Z11	Encounter for screening for infectious and parasitic diseases
364A8306-EFD6-4F9F-8F03-B450DD2D7602	7	M12.111	Kaschin-Beck disease, right shoulder
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	1	C79.31	Secondary malignant neoplasm of brain
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	2	D17	Benign lipomatous neoplasm
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	3	M1A.37	Chronic gout due to renal impairment, ankle and foot
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	4	J11.81	Influenza due to unidentified influenza virus with encephalopathy
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	5	H59	Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	6	M90.811	Osteopathy in diseases classified elsewhere, right shoulder
066E668C-00AC-4D0B-97E7-0CDAAE5D8008	7	O26.613	Liver and biliary tract disorders in pregnancy, third trimester
98AF27DF-410C-4E3D-B505-BA125FD49885	1	E30	Disorders of puberty, not elsewhere classified
98AF27DF-410C-4E3D-B505-BA125FD49885	2	M1A.341	Chronic gout due to renal impairment, right hand
98AF27DF-410C-4E3D-B505-BA125FD49885	3	M26.6	Temporomandibular joint disorders
98AF27DF-410C-4E3D-B505-BA125FD49885	4	C47.2	Malignant neoplasm of peripheral nerves of lower limb, including hip
98AF27DF-410C-4E3D-B505-BA125FD49885	5	O10.32	Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
98AF27DF-410C-4E3D-B505-BA125FD49885	6	M06.252	Rheumatoid bursitis, left hip
31D8A614-5745-456B-9168-B7AC9ADFAC13	1	D48.4	Neoplasm of uncertain behavior of peritoneum
31D8A614-5745-456B-9168-B7AC9ADFAC13	2	F10	Alcohol related disorders
B06A18C3-5033-495D-AF9D-2E80E851BFE9	1	D32	Benign neoplasm of meninges
B06A18C3-5033-495D-AF9D-2E80E851BFE9	2	O29.0	Pulmonary complications of anesthesia during pregnancy
B06A18C3-5033-495D-AF9D-2E80E851BFE9	3	M50.01	Cervical disc disorder with myelopathy,  high cervical region
B06A18C3-5033-495D-AF9D-2E80E851BFE9	4	M12.132	Kaschin-Beck disease, left wrist
B06A18C3-5033-495D-AF9D-2E80E851BFE9	5	B97.35	Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere
B06A18C3-5033-495D-AF9D-2E80E851BFE9	6	B42.0	Pulmonary sporotrichosis
FAEDFCF7-432B-44B5-BB7F-46F95A140212	1	D57.01	Hb-SS disease with acute chest syndrome
FAEDFCF7-432B-44B5-BB7F-46F95A140212	2	E08.329	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
FAEDFCF7-432B-44B5-BB7F-46F95A140212	3	O24.113	Pre-existing diabetes mellitus, type 2, in pregnancy, third trimester
FAEDFCF7-432B-44B5-BB7F-46F95A140212	4	M84.551	Pathological fracture in neoplastic disease, right femur
7A807156-A6FF-4E88-AE25-5FE7414BA5A1	1	C94.6	Myelodysplastic disease, not classified
7A807156-A6FF-4E88-AE25-5FE7414BA5A1	2	K50.011	Crohns disease of small intestine with rectal bleeding",79
"9254","White","Female","English","Massive pulmonary hemorrhage originating in the perinatal period",643
"9255","White","Female","English","Mast cell leukemia not having achieved remission",184
"9256","White","Female","English","Mast cell leukemia, in relapse",73
"9257","White","Female","English","Mast cell leukemia, in remission",744
"9258","White","Female","English","Mastoiditis in infectious and parasitic diseases classified elsewhere",307
"9259","White","Female","English","Mastoiditis in infectious and parasitic diseases classified elsewhere, left ear",261
"9260","White","Female","English","Mastoiditis in infectious and parasitic diseases classified elsewhere, right ear",712
"9261","White","Female","English","Mature B-cell leukemia Burkitt-type",399
"9262","White","Female","English","Mature B-cell leukemia Burkitt-type, in relapse",1478
"9263","White","Female","English","McArdle disease",378
"9264","White","Female","English","Mechanical complication of coronary artery bypass graft",412
"9265","White","Female","English","Megaesophagus in Chagas disease
334CF3FA-EFAA-4C42-82E2-F6A80A1528B1	1	C71.6	Malignant neoplasm of cerebellum
334CF3FA-EFAA-4C42-82E2-F6A80A1528B1	2	C94.00	Acute erythroid leukemia, not having achieved remission
756AE84A-F15E-4615-A59A-03074B23E78B	1	P71	Transitory neonatal disorders of calcium and magnesium metabolism
756AE84A-F15E-4615-A59A-03074B23E78B	2	C67.5	Malignant neoplasm of bladder neck
717DF4BA-4E1C-462D-BF9E-6E56ECFF41B0	1	C84.14	Sézary disease, lymph nodes of axilla and upper limb
717DF4BA-4E1C-462D-BF9E-6E56ECFF41B0	2	M63.851	Disorders of muscle in diseases classified elsewhere, right thigh
717DF4BA-4E1C-462D-BF9E-6E56ECFF41B0	3	G54.2	Cervical root disorders, not elsewhere classified
717DF4BA-4E1C-462D-BF9E-6E56ECFF41B0	4	B97.0	Adenovirus as the cause of diseases classified elsewhere
BAE50D1D-6942-42A5-AEDF-90CC938FDD84	1	M90.52	Osteonecrosis in diseases classified elsewhere, upper arm
BAE50D1D-6942-42A5-AEDF-90CC938FDD84	2	O26.611	Liver and biliary tract disorders in pregnancy, first trimester
BAE50D1D-6942-42A5-AEDF-90CC938FDD84	3	I70.1	Atherosclerosis of renal artery
BAE50D1D-6942-42A5-AEDF-90CC938FDD84	4	C79.31	Secondary malignant neoplasm of brain
5D261CE8-ABBC-4FD7-8B7F-A343027D471C	1	G54	Nerve root and plexus disorders
5D261CE8-ABBC-4FD7-8B7F-A343027D471C	2	O29.113	Cardiac arrest due to anesthesia during pregnancy, third trimester
5D261CE8-ABBC-4FD7-8B7F-A343027D471C	3	M50.01	Cervical disc disorder with myelopathy,  high cervical region
5D261CE8-ABBC-4FD7-8B7F-A343027D471C	4	N18.1	Chronic kidney disease, stage 1
5D261CE8-ABBC-4FD7-8B7F-A343027D471C	5	E84.0	Cystic fibrosis with pulmonary manifestations
4DE744C0-A3D6-4567-9B94-42D954A02220	1	D19.0	Benign neoplasm of mesothelial tissue of pleura
4DE744C0-A3D6-4567-9B94-42D954A02220	2	E72.3	Disorders of lysine and hydroxylysine metabolism
4DE744C0-A3D6-4567-9B94-42D954A02220	3	D31.41	Benign neoplasm of right ciliary body
4DE744C0-A3D6-4567-9B94-42D954A02220	4	D16.31	Benign neoplasm of short bones of right lower limb
7877FD67-9829-4A4B-9EA3-DD122BC10922	1	H16.441	Deep vascularization of cornea, right eye
7877FD67-9829-4A4B-9EA3-DD122BC10922	2	E71.4	Disorders of carnitine metabolism
7877FD67-9829-4A4B-9EA3-DD122BC10922	3	C78	Secondary malignant neoplasm of respiratory and digestive organs
7877FD67-9829-4A4B-9EA3-DD122BC10922	4	D12.5	Benign neoplasm of sigmoid colon
EF79B170-B893-4AFB-9FF3-5EBC2790D342	1	Q60.3	Renal hypoplasia, unilateral
EF79B170-B893-4AFB-9FF3-5EBC2790D342	2	Z12.81	Encounter for screening for malignant neoplasm of oral cavity
EF79B170-B893-4AFB-9FF3-5EBC2790D342	3	M22.2	Patellofemoral disorders
660BEC35-F694-430F-8655-124CF54CD1DD	1	C78.2	Secondary malignant neoplasm of pleura
660BEC35-F694-430F-8655-124CF54CD1DD	2	K55	Vascular disorders of intestine
660BEC35-F694-430F-8655-124CF54CD1DD	3	M05.55	Rheumatoid polyneuropathy with rheumatoid arthritis of hip
660BEC35-F694-430F-8655-124CF54CD1DD	4	T46.0X6	Underdosing of cardiac-stimulant glycosides and drugs of similar action
660BEC35-F694-430F-8655-124CF54CD1DD	5	M63.812	Disorders of muscle in diseases classified elsewhere, left shoulder
660BEC35-F694-430F-8655-124CF54CD1DD	6	F60.5	Obsessive-compulsive personality disorder
660BEC35-F694-430F-8655-124CF54CD1DD	7	C40.22	Malignant neoplasm of long bones of left lower limb
660BEC35-F694-430F-8655-124CF54CD1DD	8	K50.1	Crohns disease of large intestine",173
"9266","White","Female","English","Megaesophagus in Chagas disease
4F7D8F45-5E54-4C59-95D9-19FF64C4EDAD	3	D12.7	Benign neoplasm of rectosigmoid junction
4F7D8F45-5E54-4C59-95D9-19FF64C4EDAD	4	O24.02	Pre-existing diabetes mellitus, type 1, in childbirth
4F7D8F45-5E54-4C59-95D9-19FF64C4EDAD	5	F45.41	Pain disorder exclusively related to psychological factors
4E01B282-4A13-41BD-9E85-9F1245581E78	1	H47.641	Disorders of visual cortex in (due to) vascular disorders, right side of brain
4E01B282-4A13-41BD-9E85-9F1245581E78	2	O26.833	Pregnancy related renal disease, third trimester
4E01B282-4A13-41BD-9E85-9F1245581E78	3	M31.31	Wegeners granulomatosis with renal involvement",313
"9267","White","Female","English","Megaesophagus in Chagas disease
FC9292DA-6EF8-40B7-8962-BF986664340E	1	G52.7	Disorders of multiple cranial nerves
FC9292DA-6EF8-40B7-8962-BF986664340E	2	E09	Drug or chemical induced diabetes mellitus
FC9292DA-6EF8-40B7-8962-BF986664340E	3	N33	Bladder disorders in diseases classified elsewhere
F5C7CBF4-7B83-4862-97E1-27E4614E7007	1	I51	Complications and ill-defined descriptions of heart disease
F5C7CBF4-7B83-4862-97E1-27E4614E7007	2	I05	Rheumatic mitral valve diseases
F5C7CBF4-7B83-4862-97E1-27E4614E7007	3	D37.3	Neoplasm of uncertain behavior of appendix
F5C7CBF4-7B83-4862-97E1-27E4614E7007	4	F11.150	Opioid abuse with opioid-induced psychotic disorder with delusions
DC0C2399-F848-49AC-A0AC-970CED52A779	1	E08.341	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
DC0C2399-F848-49AC-A0AC-970CED52A779	2	Q27.1	Congenital renal artery stenosis
DC0C2399-F848-49AC-A0AC-970CED52A779	3	F33	Major depressive disorder, recurrent
DC0C2399-F848-49AC-A0AC-970CED52A779	4	M24.241	Disorder of ligament, right hand
DC0C2399-F848-49AC-A0AC-970CED52A779	5	C92.60	Acute myeloid leukemia with 11q23-abnormality not having achieved remission
ABC6618C-50E6-456C-ABC0-01077FE5E0FA	1	O26.63	Liver and biliary tract disorders in the puerperium
ABC6618C-50E6-456C-ABC0-01077FE5E0FA	2	E71.32	Disorders of ketone metabolism
ABC6618C-50E6-456C-ABC0-01077FE5E0FA	3	G47.24	Circadian rhythm sleep disorder, free running type
8245F961-5958-406F-92D2-44CB1580F9DE	1	C17	Malignant neoplasm of small intestine
8245F961-5958-406F-92D2-44CB1580F9DE	2	I24.0	Acute coronary thrombosis not resulting in myocardial infarction
8245F961-5958-406F-92D2-44CB1580F9DE	3	M05.47	Rheumatoid myopathy with rheumatoid arthritis of ankle and foot
A2386148-860A-4956-AC92-46D033981AEC	1	F32.1	Major depressive disorder, single episode, moderate
A2386148-860A-4956-AC92-46D033981AEC	2	O99.712	Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester
A2386148-860A-4956-AC92-46D033981AEC	3	H05.323	Deformity of bilateral orbits due to bone disease
A2386148-860A-4956-AC92-46D033981AEC	4	D44.5	Neoplasm of uncertain behavior of pineal gland
BF184CC9-BAE9-42A4-A25C-05AF874B6534	1	F60.6	Avoidant personality disorder
BF184CC9-BAE9-42A4-A25C-05AF874B6534	2	M90.522	Osteonecrosis in diseases classified elsewhere, left upper arm
BF184CC9-BAE9-42A4-A25C-05AF874B6534	3	F10.150	Alcohol abuse with alcohol-induced psychotic disorder with delusions
BF184CC9-BAE9-42A4-A25C-05AF874B6534	4	G05.3	Encephalitis and encephalomyelitis in diseases classified elsewhere
BF184CC9-BAE9-42A4-A25C-05AF874B6534	5	M11.051	Hydroxyapatite deposition disease, right hip
EBD7831B-70D2-4897-95A8-F79C316DBDB6	1	O99.6	Diseases of the digestive system complicating pregnancy, childbirth and the puerperium
FEB3655A-31B1-4E47-87A8-DAA4DE0B95F5	1	C84.1	Sézary disease
FEB3655A-31B1-4E47-87A8-DAA4DE0B95F5	2	H93.0	Degenerative and vascular disorders of ear
FEB3655A-31B1-4E47-87A8-DAA4DE0B95F5	3	C10.3	Malignant neoplasm of posterior wall of oropharynx
FEB3655A-31B1-4E47-87A8-DAA4DE0B95F5	4	H53.16	Psychophysical visual disturbances
658D5A3B-6132-412F-8DC8-2A5534D4E220	1	Y71.1	Therapeutic (nonsurgical) and rehabilitative cardiovascular devices associated with adverse incidents
658D5A3B-6132-412F-8DC8-2A5534D4E220	2	C90.10	Plasma cell leukemia not having achieved remission
658D5A3B-6132-412F-8DC8-2A5534D4E220	3	K50.10	Crohns disease of large intestine without complications",207
"9268","White","Female","English","Meningitis in bacterial diseases classified elsewhere",750
"9269","White","Female","English","Meningitis in Chagas disease
22905BE5-68DE-48B3-A1FD-0FAFF6128E9C	3	C06.2	Malignant neoplasm of retromolar area
22905BE5-68DE-48B3-A1FD-0FAFF6128E9C	4	O24.414	Gestational diabetes mellitus in pregnancy, insulin controlled
22905BE5-68DE-48B3-A1FD-0FAFF6128E9C	5	H52	Disorders of refraction and accommodation
22905BE5-68DE-48B3-A1FD-0FAFF6128E9C	6	T43.3X2	Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm
22905BE5-68DE-48B3-A1FD-0FAFF6128E9C	7	H30.813	Haradas disease, bilateral",393
"9270","White","Female","English","Meningococcal heart disease",251
"9271","White","Female","English","Meningoencephalitis in Chagas disease
0028FB55-BC51-41BC-8393-28CC4C1D9800	1	J84.842	Pulmonary interstitial glycogenosis
0028FB55-BC51-41BC-8393-28CC4C1D9800	2	T46.0X6	Underdosing of cardiac-stimulant glycosides and drugs of similar action
0028FB55-BC51-41BC-8393-28CC4C1D9800	3	D41.12	Neoplasm of uncertain behavior of left renal pelvis
0028FB55-BC51-41BC-8393-28CC4C1D9800	4	F11.14	Opioid abuse with opioid-induced mood disorder
18C9B988-E63F-4C98-8111-4E5218C05051	1	E83.5	Disorders of calcium metabolism
18C9B988-E63F-4C98-8111-4E5218C05051	2	C69.32	Malignant neoplasm of left choroid
18C9B988-E63F-4C98-8111-4E5218C05051	3	C20	Malignant neoplasm of rectum
18C9B988-E63F-4C98-8111-4E5218C05051	4	D44.12	Neoplasm of uncertain behavior of left adrenal gland
E8BDA6A3-A8F8-46BB-8B47-0BA3D860148D	1	Z13.220	Encounter for screening for lipoid disorders
E8BDA6A3-A8F8-46BB-8B47-0BA3D860148D	2	C13.2	Malignant neoplasm of posterior wall of hypopharynx
E8BDA6A3-A8F8-46BB-8B47-0BA3D860148D	3	D89.811	Chronic graft-versus-host disease
E8BDA6A3-A8F8-46BB-8B47-0BA3D860148D	4	M06.3	Rheumatoid nodule
CCD74B19-BE71-40EF-8263-B2ACC36A18AE	1	C75.1	Malignant neoplasm of pituitary gland
CCD74B19-BE71-40EF-8263-B2ACC36A18AE	2	F43.23	Adjustment disorder with mixed anxiety and depressed mood
CCD74B19-BE71-40EF-8263-B2ACC36A18AE	3	E10.63	Type 1 diabetes mellitus with oral complications
CCD74B19-BE71-40EF-8263-B2ACC36A18AE	4	C41.4	Malignant neoplasm of pelvic bones, sacrum and coccyx
CCD74B19-BE71-40EF-8263-B2ACC36A18AE	5	I37	Nonrheumatic pulmonary valve disorders
CCD74B19-BE71-40EF-8263-B2ACC36A18AE	6	C91.11	Chronic lymphocytic leukemia of B-cell type in remission
E2FA2691-75D8-481A-8CA8-B1BBA90E0825	1	C24.8	Malignant neoplasm of overlapping sites of biliary tract
E2FA2691-75D8-481A-8CA8-B1BBA90E0825	2	C70	Malignant neoplasm of meninges
EAE6865D-723E-4F1B-88E4-5B45780CA396	1	G30.1	Alzheimers disease with late onset",356
"9272","White","Female","English","Meningoencephalitis in Chagas disease
77536870-6B67-423C-875F-ADECCDEB48C1	4	H52	Disorders of refraction and accommodation
FA4E50CC-C4C2-410F-817F-1D98E222DB66	1	M90.531	Osteonecrosis in diseases classified elsewhere, right forearm
FA4E50CC-C4C2-410F-817F-1D98E222DB66	2	M02.341	Reiters disease, right hand",300
